Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
707,145.679,116.705,28.974,,138.334,104.3,34.034,,707,290.416,281.247,9.169,,287.844,291.98,-4.136,,707,283.855,199.383,84.472,,163.777,154.128,9.649,,153.745,147.766,5.979,,163.946,149.576,14.37
709,155.1,101.775,53.325,,148.616,97.827,50.789,,709,294.049,281.242,12.807,,356.703,287.799,68.904,,709,229.178,178.307,50.871,,243.303,181.572,61.731,,162.467,148.429,14.038,,238.182,150.765,87.417
711,140.904,102.284,38.62,,153.44,103.853,49.587,,711,291.511,281.197,10.314,,290.304,281.895,8.409,,711,189.665,188.468,1.197,,205.224,192.029,13.195,,319.103,149.387,169.716,,168.731,150.491,18.24
713,149.932,111.92,38.012,,142.33,110.085,32.245,,713,290.46,281.312,9.148,,290.214,282.695,7.519,,713,206.903,197.96,8.943,,183.357,159.596,23.761,,205.866,149.112,56.754,,200.297,150.51,49.787
715,156.592,96.287,60.305,,146.99,105.602,41.388,,715,290.813,281.167,9.646,,291.773,281.517,10.256,,715,230.2,177.189,53.011,,208.828,184.968,23.86,,154.287,151.757,2.53,,168.231,150.716,17.515
717,166.32,95.481,70.839,,245.267,100.17,145.097,,717,291.121,281.267,9.854,,291.267,281.909,9.358,,717,199.026,183.296,15.73,,195.695,198.018,-2.323,,155.344,149.196,6.148,,220.81,149.476,71.334
719,152.177,108.598,43.579,,284.521,100.936,183.585,,719,290.527,281.188,9.339,,293.001,282.426,10.575,,719,219.997,203.602,16.395,,241.216,153.1,88.116,,195.877,148.873,47.004,,162.401,149.092,13.309
721,163.453,106.631,56.822,,199.418,101.613,97.805,,721,325.247,281.251,43.996,,418.632,282.066,136.566,,721,233.956,182.982,50.974,,201.05,191.01,10.04,,155.632,149.203,6.429,,169.289,149.845,19.444
723,156.249,113.498,42.751,,136.537,105.15,31.387,,723,290.684,281.287,9.397,,290.304,283.532,6.772,,723,301.645,194.293,107.352,,198.114,194.333,3.781,,154.849,148.303,6.546,,201.217,149.047,52.17
725,147.221,105.714,41.507,,133.637,117.287,16.35,,725,292.782,286.388,6.394,,290.298,282.195,8.103,,725,221.312,204.481,16.831,,208.164,147.605,60.559,,328.107,149.705,178.402,,226.656,148.891,77.765
727,153.61,103.785,49.825,,140.459,122.705,17.754,,727,293.338,289.838,3.5,,290.347,282.632,7.715,,727,224.031,168.136,55.895,,234.677,192.604,42.073,,154.836,150.039,4.797,,267.825,149.37,118.455
729,163.411,104.401,59.01,,164.054,113.746,50.308,,729,293.316,290.03,3.286,,304.596,284.116,20.48,,729,239.109,195.35,43.759,,193.09,187.542,5.548,,205.052,149.189,55.863,,176.44,148.819,27.621
731,170.521,106.918,63.603,,163.161,98.017,65.144,,731,299.043,290.087,8.956,,290.492,281.993,8.499,,731,230.383,199.211,31.172,,213.08,168.035,45.045,,165.156,148.165,16.991,,307.594,148.647,158.947
733,159.693,98.79,60.903,,138.852,109.409,29.443,,733,410.667,289.942,120.725,,290.277,286.214,4.063,,733,222.011,178.895,43.116,,182.549,185.482,-2.933,,166.123,148.987,17.136,,319.68,148.908,170.772
735,158.332,109.525,48.807,,148.229,90.005,58.224,,735,293.46,290.017,3.443,,293.61,287.341,6.269,,735,216.952,180.242,36.71,,204.862,179.027,25.835,,153.746,149.559,4.187,,200.291,150.187,50.104
737,480.531,119.9,360.631,,138.508,96.916,41.592,,737,293.749,290.042,3.707,,292.375,283.613,8.762,,737,223.385,200.532,22.853,,254.07,165,89.07,,165.189,149.837,15.352,,169.196,149.942,19.254
739,540.542,101.447,439.095,,161.521,98.79,62.731,,739,293.264,289.972,3.292,,385.292,283.214,102.078,,739,216.469,181.188,35.281,,187.555,196.897,-9.342,,162.717,150.63,12.087,,200.776,150.176,50.6
741,170.493,109.178,61.315,,164.932,118.859,46.073,,741,296.644,289.92,6.724,,290.646,282.421,8.225,,741,218.235,190.973,27.262,,212.78,178.804,33.976,,364.442,148.621,215.821,,152.028,148.666,3.362
743,212.218,116.147,96.071,,172.633,114.035,58.598,,743,293.451,290.049,3.402,,290.223,287.939,2.284,,743,218.596,200.921,17.675,,177.964,175.587,2.377,,167.88,149.459,18.421,,311.556,149.566,161.99
745,294.968,97.246,197.722,,332.444,102.361,230.083,,745,293.761,290.152,3.609,,290.397,283.239,7.158,,745,293.906,176.746,117.16,,193.856,189.042,4.814,,170.434,149.142,21.292,,153.557,149.227,4.33
747,182.245,105.887,76.358,,149.028,113.636,35.392,,747,299.854,289.981,9.873,,290.564,282.414,8.15,,747,190.059,187.716,2.343,,209.886,163.518,46.368,,157.186,148.967,8.219,,163.477,148.874,14.603
749,142.192,119.996,22.196,,148.849,101.143,47.706,,749,293.413,290.094,3.319,,290.285,282.653,7.632,,749,227.317,192.972,34.345,,172.058,180.307,-8.249,,157.093,148.978,8.115,,243.742,150.327,93.415
Sun Mar 15 16:57:35 2015,,,,,,,,,Sun Mar 15 03:20:50 2015,,,,,,,,,,,,,,,,,,,,,,,,
