Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
123,13.672,11.822,1.85,,12.202,10.428,1.774,,123,281.365,268.648,12.717,,293.003,281.022,11.981,,123,39.973,34.937,5.036,,36.113,33.357,2.756,,154.324,156.667,-2.343,,146.309,169.752,-23.443
125,13.958,11.774,2.184,,13.446,13.404,0.042,,125,281.328,270.123,11.205,,292.996,281.115,11.881,,125,32.608,33.834,-1.226,,37.424,33.47,3.954,,154.404,156.831,-2.427,,146.552,166.658,-20.106
127,15.001,12.325,2.676,,12.871,11.217,1.654,,127,281.322,268.853,12.469,,293.445,280.9,12.545,,127,34.531,34.082,0.449,,38.258,31.223,7.035,,154.234,157.037,-2.803,,146.239,165.751,-19.512
129,14.213,11.541,2.672,,13.908,11.914,1.994,,129,281.524,268.744,12.78,,292.785,280.816,11.969,,129,40.609,33.751,6.858,,38.255,34.39,3.865,,154.474,157.078,-2.604,,146.259,166.236,-19.977
131,13.697,12.62,1.077,,13.877,11.331,2.546,,131,281.372,269.16,12.212,,292.978,281.182,11.796,,131,33.943,35.248,-1.305,,38.594,35.856,2.738,,153.879,157.155,-3.276,,146.194,169.797,-23.603
133,14.2,12.441,1.759,,13.266,12.151,1.115,,133,281.305,268.836,12.469,,292.992,280.983,12.009,,133,42.156,37.997,4.159,,42.223,34.262,7.961,,154.424,156.824,-2.4,,146.156,166.502,-20.346
135,13.898,11.879,2.019,,15.656,12.711,2.945,,135,285.599,268.888,16.711,,292.966,281.473,11.493,,135,43.708,39.179,4.529,,35.481,37.687,-2.206,,154.248,156.823,-2.575,,146.234,170.862,-24.628
137,15.8,13.062,2.738,,15.064,11.485,3.579,,137,290.375,268.762,21.613,,292.981,289.682,3.299,,137,45.813,40.118,5.695,,30.111,37.135,-7.024,,154.192,156.935,-2.743,,146.203,157.041,-10.838
139,15.012,12.283,2.729,,14.497,12.678,1.819,,139,290.217,268.737,21.48,,292.913,289.726,3.187,,139,46.745,39.64,7.105,,35.247,37.255,-2.008,,154.137,157.002,-2.865,,146.253,150.628,-4.375
141,14.71,12.737,1.973,,14.549,11.854,2.695,,141,290.228,268.886,21.342,,292.941,289.861,3.08,,141,47.099,39.97,7.129,,36.487,38.113,-1.626,,154.055,156.836,-2.781,,146.226,151.26,-5.034
