,large_v1,large_v2,diff,,Small_v1,Small_v2,diff_small
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
665,222.301,195.837,26.464,,189.775,172.971,16.804
667,216.399,172.952,43.447,,195.098,194.715,0.383
669,201.754,164.975,36.779,,170.064,170.666,-0.602
671,345.61,201.311,144.299,,200.812,166.537,34.275
673,218.253,162.371,55.882,,200.921,175.848,25.073
675,227.643,200.49,27.153,,255.573,167.939,87.634
677,227.718,204.776,22.942,,200.982,177.65,23.332
679,215.744,164.244,51.5,,191.304,191.312,-0.008
681,222.025,186.92,35.105,,174.171,177.893,-3.722
683,225.542,194.109,31.433,,226.734,174.691,52.043
685,224.145,172.733,51.412,,196.546,198.946,-2.4
687,226.672,186.667,40.005,,213.883,180.511,33.372
689,246.54,211.864,34.676,,201.219,166.286,34.933
691,212.184,174.218,37.966,,197.784,186.046,11.738
693,234.786,184.532,50.254,,262.808,175.892,86.916
695,220.765,209.719,11.046,,190.257,160.426,29.831
697,223.401,186.048,37.353,,203.025,185.478,17.547
699,238.043,186.21,51.833,,210.152,202.307,7.845
701,218.244,209.906,8.338,,203.348,166.296,37.052
703,201.561,186.496,15.065,,200.624,178.282,22.342
705,233.509,185.994,47.515,,295.091,190.883,104.208
707,283.855,199.383,84.472,,163.777,154.128,9.649
709,229.178,178.307,50.871,,243.303,181.572,61.731
711,189.665,188.468,1.197,,205.224,192.029,13.195
713,206.903,197.96,8.943,,183.357,159.596,23.761
715,230.2,177.189,53.011,,208.828,184.968,23.86
717,199.026,183.296,15.73,,195.695,198.018,-2.323
719,219.997,203.602,16.395,,241.216,153.1,88.116
721,233.956,182.982,50.974,,201.05,191.01,10.04
723,301.645,194.293,107.352,,198.114,194.333,3.781
725,221.312,204.481,16.831,,208.164,147.605,60.559
727,224.031,168.136,55.895,,234.677,192.604,42.073
729,239.109,195.35,43.759,,193.09,187.542,5.548
731,230.383,199.211,31.172,,213.08,168.035,45.045
733,222.011,178.895,43.116,,182.549,185.482,-2.933
735,216.952,180.242,36.71,,204.862,179.027,25.835
737,223.385,200.532,22.853,,254.07,165,89.07
739,216.469,181.188,35.281,,187.555,196.897,-9.342
741,218.235,190.973,27.262,,212.78,178.804,33.976
743,218.596,200.921,17.675,,177.964,175.587,2.377
745,293.906,176.746,117.16,,193.856,189.042,4.814
747,190.059,187.716,2.343,,209.886,163.518,46.368
749,227.317,192.972,34.345,,172.058,180.307,-8.249
